Wall time,Step,Value
1579769786.1891494,0,0.09999999403953552
1579770067.0150592,50,0.09999999403953552
1579770361.2729225,100,0.09999999403953552
1579770597.9486005,150,0.12839999794960022
1579770807.7733135,200,0.20099999010562897
1579771025.1635618,250,0.17189998924732208
1579771238.0253031,300,0.17159999907016754
1579771452.450415,350,0.17520000040531158
1579771654.5858924,400,0.18539999425411224
1579771865.7891638,450,0.25669997930526733
1579772073.662501,500,0.27730000019073486
1579772280.861095,550,0.24239999055862427
1579772486.4365191,600,0.20389999449253082
1579772700.3243692,650,0.2466999888420105
1579772912.0112376,700,0.27869999408721924
1579773124.56204,750,0.23249998688697815
1579773336.5644326,800,0.28450000286102295
1579773554.3319254,850,0.2287999987602234
1579773764.0292823,900,0.27719998359680176
1579773980.1192403,950,0.23420000076293945
1579774193.0966516,1000,0.305899977684021
1579774409.7413335,1050,0.2425999939441681
1579774614.1720676,1100,0.3098999857902527
1579774830.4581125,1150,0.25939998030662537
1579775040.3199573,1200,0.32409998774528503
1579775246.4971468,1250,0.335099995136261
1579775458.1850562,1300,0.3312000036239624
1579775674.6328306,1350,0.34199997782707214
1579775881.8973203,1400,0.3215999901294708
1579776094.2049131,1450,0.3400000035762787
1579776307.3478189,1500,0.2705000042915344
1579776516.5125577,1550,0.2831999957561493
1579776733.7946496,1600,0.3497999906539917
1579776946.860114,1650,0.19820000231266022
1579777158.2623177,1700,0.2718999981880188
1579777371.3527992,1750,0.3114999830722809
1579777577.5137532,1800,0.30379998683929443
1579777791.785854,1850,0.2784999907016754
1579778002.1399925,1900,0.3304999768733978
1579778214.2229145,1950,0.3416999876499176
1579778426.4175632,2000,0.27889999747276306
1579778638.3052692,2050,0.37119999527931213
1579778854.331577,2100,0.352400004863739
1579779071.0931098,2150,0.36969998478889465
1579779282.2924814,2200,0.3260999917984009
1579779492.7450755,2250,0.32979997992515564
1579779704.6866117,2300,0.3270999789237976
1579779906.461288,2350,0.2759000062942505
1579780116.6690617,2400,0.33069998025894165
1579780333.7440007,2450,0.38009998202323914
1579780548.031537,2500,0.33319997787475586
1579780764.2991917,2550,0.3361999988555908
1579780967.49122,2600,0.29729998111724854
1579781177.8738112,2650,0.29569998383522034
1579781393.4989119,2700,0.34929999709129333
1579781610.5526855,2750,0.4057999849319458
1579781825.175137,2800,0.34529998898506165
1579782038.2790787,2850,0.34039998054504395
1579782250.4626207,2900,0.35760000348091125
1579782456.2312112,2950,0.3091000020503998
1579782668.923141,3000,0.3568999767303467
1579782879.3788586,3050,0.3969999849796295
1579783090.957122,3100,0.41929998993873596
1579783305.8922634,3150,0.358599990606308
1579783520.029372,3200,0.3498999774456024
1579783721.2817001,3250,0.35009998083114624
1579783881.4019008,3300,0.3709000051021576
1579784034.3466644,3350,0.3929999768733978
1579784182.2484312,3400,0.42069998383522034
1579784326.517877,3450,0.35979998111724854
1579784462.3075185,3500,0.35979998111724854
1579784596.2506168,3550,0.3238999843597412
1579784815.2936997,3600,0.3604999780654907
1579785042.032044,3650,0.3983999788761139
1579785253.7388253,3700,0.41339999437332153
1579785450.0491428,3750,0.37379997968673706
1579785655.0629954,3800,0.3653999865055084
1579785861.3541245,3850,0.3752000033855438
1579786057.23552,3900,0.4310999810695648
1579786264.8478231,3950,0.3967999815940857
1579786480.2669315,4000,0.3549000024795532
1579786689.9933004,4050,0.3958999812602997
1579786919.4274058,4100,0.35089999437332153
1579787156.9171305,4150,0.4196999967098236
1579787390.4832742,4200,0.44449999928474426
1579787630.2634563,4250,0.4350000023841858
1579787867.1207156,4300,0.34129998087882996
1579788101.3186057,4350,0.4625999927520752
1579788327.245696,4400,0.3537999987602234
1579788561.6482332,4450,0.32989999651908875
1579788795.4303231,4500,0.4408999979496002
1579789018.3901675,4550,0.40379998087882996
1579789251.9903193,4600,0.3215999901294708
1579789489.82302,4650,0.41110000014305115
1579789725.5390747,4700,0.3594000041484833
1579789985.332266,4750,0.45159998536109924
1579790232.9276712,4800,0.4536999762058258
1579790462.1647365,4850,0.4323999881744385
1579790720.845477,4900,0.4211999773979187
1579790981.968942,4950,0.34630000591278076
1579791231.738528,5000,0.376800000667572
1579791490.4093642,5050,0.4438000023365021
1579791746.495988,5100,0.47829997539520264
1579791993.285878,5150,0.3958999812602997
1579792247.983809,5200,0.41909998655319214
1579792503.7503643,5250,0.4065999984741211
1579792747.8612738,5300,0.4578999876976013
1579793003.4849203,5350,0.45249998569488525
1579793258.413622,5400,0.4569999873638153
1579793503.5657868,5450,0.353300005197525
1579793758.2102306,5500,0.4790000021457672
1579794013.3818302,5550,0.4811999797821045
1579794257.7981665,5600,0.4900999963283539
1579794514.1262538,5650,0.4351999759674072
1579794768.6320384,5700,0.4608999788761139
1579795019.0520725,5750,0.34929999709129333
1579795269.4030888,5800,0.3425999879837036
1579795534.771463,5850,0.3896999955177307
1579795801.7205582,5900,0.4189999997615814
1579796064.09631,5950,0.4664999842643738
1579796329.9743855,6000,0.47829997539520264
1579796596.3307064,6050,0.43129998445510864
1579796846.8828354,6100,0.4259999990463257
1579797099.9813197,6150,0.41909998655319214
1579797345.2946744,6200,0.44369998574256897
1579797587.9733322,6250,0.4925999939441681
1579797866.3086503,6300,0.4306999742984772
1579798149.0356376,6350,0.47589999437332153
1579798426.5856555,6400,0.4178999960422516
1579798709.151192,6450,0.4834999740123749
1579798990.4045908,6500,0.429099977016449
1579799284.2924855,6550,0.4494999945163727
1579799572.4299989,6600,0.4351999759674072
1579799855.1271818,6650,0.4998999834060669
